PostsCount,LikesPerPost,MessagesSent,PhotosPerDay,Topic,classes
46,776,824,2.34,0,0.0
217,512,164,3.42,1,0.5258413615818226
125,460,1091,4.22,0,0.0
197,875,1605,2.82,3,23.964136750920197
378,347,402,4.31,2,1.2639955833585477
103,481,724,2.44,4,13.112056082289282
325,160,1386,4.24,5,5.747914183192774
46,551,980,2.97,5,69.26611970448421
253,493,202,2.78,1,0.4348075995322508
390,129,1824,3.71,0,0.0
308,491,513,1.25,0,0.0
449,290,1499,1.46,2,1.1233386555231308
163,568,765,4.06,5,21.502688669428014
57,102,232,1.86,3,0.9204963324928076
300,358,569,4.3,5,5.800788896394829
451,615,1222,1.6,0,0.0
403,355,793,2.41,4,2.675765751710303
372,508,1112,2.62,1,1.580889130855306
285,691,901,3.97,2,6.8921233790626335
52,359,507,3.89,0,0.0
220,332,1749,1.83,5,9.596234872756826
97,839,1716,0.49,3,8.669606927828374
316,879,845,1.2,5,5.603821773930064
403,485,1528,3.57,2,5.21714396482383
140,414,635,2.32,1,1.731045878185766
249,443,353,0.38,0,0.0
152,210,606,2.35,0,0.0
194,349,241,3.95,1,0.6804753502537889
434,891,1307,0.72,3,2.302989064853318
375,495,1562,1.79,4,5.866006577746049
425,334,952,3.79,0,0.0
315,74,1485,2.83,4,1.5691649867610655
214,763,342,0.76,4,1.4729398662693172
109,158,276,3.92,2,1.2463221007658054
457,923,1012,1.63,2,2.6476353814134503
122,363,984,2.04,2,4.746534244120401
216,521,903,0.58,0,0.0
108,322,1113,2.99,4,15.770048274591923
119,150,1094,4.34,1,2.3780769954852614
193,927,674,3.32,4,17.08263884485349
69,865,1318,2.85,2,37.42241798301634
66,651,349,1.8,0,0.0
239,230,919,3.51,2,2.466931674312669
319,350,1559,3.83,4,10.412542915146568
300,927,1783,1.63,2,7.136774674769544
283,402,1547,3.15,2,5.501043045335637
264,558,436,0.81,0,0.0
372,537,1457,1.93,0,0.0
145,872,204,3.19,0,0.0
51,303,928,0.53,0,0.0
214,208,136,1.08,0,0.0
171,501,891,1.56,5,8.090744464697156
298,384,1430,4.53,5,16.584170982752987
403,263,1600,2.96,4,4.912436504568235
132,194,360,4.52,5,4.751309280776908
216,673,658,1.86,0,0.0
212,426,825,3.58,4,9.432900800406385
327,637,1689,2.61,5,17.06107544692764
170,841,1716,1.63,4,21.993103409523464
447,116,1016,1.15,1,0.1204804488918753
214,332,1676,2.84,2,5.868420464934445
296,481,1316,1.51,2,2.566201533287671
142,658,1406,3.6,5,46.59828546737488
391,283,161,3.69,3,0.5125753744332063
467,386,1290,0.84,3,1.0676655697831974
293,767,895,2.42,1,2.252893735845
357,510,1175,0.72,4,1.920909378572076
277,81,191,1.44,4,0.1278308459766311
430,149,1447,0.76,1,0.1514169517057579
132,665,852,3.59,4,24.49155226146809
359,264,779,0.75,0,0.0
52,291,1039,3.99,2,18.4366769862404
417,537,136,0.66,1,0.0459299145265168
107,879,850,0.84,4,9.322617441215112
213,353,907,0.77,4,1.8396180751874345
378,697,1475,0.94,1,1.0158636365100242
383,568,179,4.17,3,1.3195761727338016
36,907,1564,1.56,0,0.0
467,446,1705,2.47,4,6.392546100086914
148,568,1367,2.46,3,15.384594694247294
111,478,878,0.44,2,1.322076751986487
168,839,830,2.77,1,4.562313274673434
366,706,664,0.97,0,0.0
374,293,1149,1.09,2,0.7797351331668686
353,465,674,3.35,1,1.1818368129250578
63,216,1122,0.44,1,0.672563504974087
396,121,1818,1.93,1,0.4260062148006681
343,544,495,1.15,4,1.4349685171061224
107,812,1255,0.92,4,13.926383761903327
282,246,1477,3.05,3,4.684488215322431
390,441,1783,4.3,5,17.22417177884263
397,265,131,2.91,0,0.0
415,619,1862,2.75,5,15.173979384707286
280,127,1773,3.23,2,2.0642462570247084
138,203,1323,3.8,0,0.0
98,240,734,1.81,4,5.17123595908439
121,318,1291,2.01,0,0.0
105,471,641,4.11,4,18.783045621983018
83,134,483,1.31,3,1.2177018047247152
457,772,1078,3.1,4,8.9725545806837
57,416,1512,0.68,2,5.963259889252627
131,719,372,3.8,1,3.0828947190114606
321,607,1751,2.44,0,0.0
216,152,698,1.05,5,1.0246584488709292
173,753,1708,0.46,2,2.7176850751627377
157,781,709,3.77,5,26.41700228585328
102,634,1290,0.91,4,11.597242612949712
154,709,559,3.48,4,14.234791819888228
435,596,1503,2.8,2,4.582247816646494
85,312,224,1.09,5,1.7805523688930494
391,532,858,1.87,0,0.0
455,500,924,3.0,4,4.841571919805234
458,512,456,2.9,4,2.349642978261376
385,296,602,2.11,3,1.1641414300637454
299,738,1019,2.84,2,5.676521090855945
230,366,657,4.57,5,9.492473336530251
91,428,1723,3.05,1,9.821143485414858
437,725,1699,4.14,0,0.0
266,751,423,1.34,1,0.6358841921158629
231,880,445,2.57,0,0.0
206,98,1145,4.39,5,4.750873088726336
355,487,1500,2.86,1,2.3384735546697777
321,878,1706,4.16,5,38.56616081611584
164,637,621,1.85,2,3.546202005763821
110,572,796,2.01,5,16.529397955671175
63,321,818,2.5,4,16.561220869670954
173,546,1745,3.23,5,35.34183216423604
376,733,447,1.6,1,0.5540107579585578
48,853,387,1.76,3,14.428701336281064
400,336,256,0.6,0,0.0
212,749,1006,2.51,4,14.17921581922818
383,390,839,4.4,2,2.987342576506109
445,723,215,1.99,1,0.276213171955618
223,357,706,3.87,0,0.0
50,611,1773,3.93,5,169.16754968571266
438,314,751,2.44,4,2.0879488480067394
157,784,1435,2.05,5,29.185473210675045
255,223,823,2.86,0,0.0
335,314,1858,4.03,5,13.943768497362386
342,665,795,2.5,0,0.0
96,715,823,2.33,5,28.37495176344012
173,603,1198,1.78,1,2.9534021857222514
167,881,1147,4.15,2,19.956092583499636
242,568,1296,0.88,3,3.1909240016784457
455,550,909,2.94,2,2.567243510476725
393,213,818,3.43,1,0.6042393984890514
440,343,659,2.52,0,0.0
62,797,984,2.8,1,14.073247460152766
265,272,1637,3.22,4,8.599280889604021
82,402,707,0.63,1,0.8676543061738686
76,82,911,3.68,2,2.874557590654808
462,790,169,2.0,4,0.9186210012649828
402,584,424,4.61,5,5.641546120611821
108,706,159,4.4,1,1.817210798795169
343,439,306,3.3,0,0.0
418,371,1422,2.44,0,0.0
229,634,682,1.65,3,3.7137948676841823
281,287,1398,2.72,2,3.086428428456567
62,246,562,2.0,1,1.7720839470796412
127,896,265,3.13,3,6.975740518793663
388,259,1306,4.43,1,1.5345798955313124
407,493,1648,1.95,5,7.733728037221446
186,354,1048,1.49,0,0.0
365,671,1734,1.11,0,0.0
127,597,1691,1.16,2,7.32785328067258
232,380,769,4.02,1,2.0119749404375287
346,319,169,3.57,2,0.4420527159857845
129,605,1108,2.33,5,24.055030543975768
91,247,836,4.28,3,11.577143719533897
416,77,1724,0.97,2,0.2459863161040072
270,271,896,3.22,3,3.451955793204043
415,338,941,4.29,2,2.612883686768382
334,541,165,0.37,2,0.078585247414149
340,332,1778,4.63,4,12.776340224347589
256,221,1462,0.53,1,0.2657970234642014
53,668,694,2.08,4,28.917314091590068
124,739,1428,2.72,4,36.792086584598174
351,704,148,2.89,4,1.3635141672685396
54,782,725,1.45,2,12.098278015981087
64,112,1863,3.49,5,22.605852910814303
281,338,1051,2.54,0,0.0
390,334,383,2.56,1,0.333653097979973
425,631,999,0.83,1,0.4891686008062158
339,473,1140,2.44,1,1.54216443312455
137,699,1435,1.37,2,7.971382246289479
124,452,482,3.92,3,8.210047545908076
60,556,160,2.15,3,3.7999492903109737
174,627,1297,4.51,2,16.7509471631766
268,194,427,4.14,1,0.508475128363106
212,718,481,3.51,1,2.272036681779611
275,328,282,2.55,2,0.6816084987675025
448,515,770,0.98,0,0.0
98,385,1673,1.81,3,14.180938936589111
453,651,1674,1.48,3,4.244199334265789
169,124,1805,3.47,2,3.652129930074884
123,582,1339,3.61,0,0.0
116,465,1327,2.09,2,8.835207037367434
285,905,979,4.54,4,22.43245564792169
67,511,460,2.67,4,14.8884588315029
466,183,746,3.28,1,0.3818144907015091
326,314,821,4.36,2,2.7399728068218705
267,928,1400,1.18,3,6.844513353631548
290,467,344,3.77,5,4.149189234078764
415,290,911,3.31,4,3.349120903175041
360,863,1546,1.52,3,6.715172753991139
206,114,1269,1.52,4,1.6965919222083388
148,431,383,4.4,4,7.800124939740332
85,907,1038,4.49,2,39.52179071956737
207,817,875,4.41,2,12.103275299576076
404,733,987,0.83,2,1.181197210904369
262,694,927,1.75,0,0.0
267,757,1599,2.67,3,14.429130475610313
327,511,435,2.88,3,2.3337305395364103
205,121,392,0.4,3,0.1103248599742285
225,750,458,3.16,4,7.667713190677134
376,71,237,1.69,1,0.0300524661736974
169,163,820,1.97,1,0.6190924973379467
175,613,370,3.04,1,1.5655692987091667
369,360,175,0.48,5,0.1628170896904198
