PostsCount,LikesPerPost,MessagesSent,PhotosPerDay,Topic
46,776,824,2.34,0
217,512,164,3.42,1
125,460,1091,4.22,0
347,945,543,3.85,2
197,875,1605,2.82,3
378,347,402,4.31,2
103,481,724,2.44,4
325,160,1386,4.24,5
46,551,980,2.97,5
319,393,100,1.92,2
253,493,202,2.78,1
175,80,1334,0.23,0
199,51,1576,2.39,0
390,129,1824,3.71,0
308,491,513,1.25,0
393,281,1288,0.13,3
449,290,1499,1.46,2
163,568,765,4.06,5
180,5,557,0.48,0
57,102,232,1.86,3
300,358,569,4.3,5
451,615,1222,1.6,0
403,355,793,2.41,4
428,194,869,0.06,1
372,508,1112,2.62,1
285,691,901,3.97,2
32,953,1154,1.42,2
48,152,122,4.09,5
52,359,507,3.89,0
360,52,867,4.02,1
220,332,1749,1.83,5
476,428,1087,4.91,0
97,839,1716,0.49,3
316,879,845,1.2,5
391,998,985,2.87,5
403,485,1528,3.57,2
60,948,492,3.85,0
140,414,635,2.32,1
9,417,1186,0.97,5
249,443,353,0.38,0
152,210,606,2.35,0
194,349,241,3.95,1
434,891,1307,0.72,3
124,855,1020,0.09,1
375,495,1562,1.79,4
425,334,952,3.79,0
448,341,9,2.42,3
315,74,1485,2.83,4
214,763,342,0.76,4
290,759,27,2.67,5
474,261,13,4.93,4
109,158,276,3.92,2
457,923,1012,1.63,2
122,363,984,2.04,2
76,149,1597,0.32,2
216,521,903,0.58,0
108,322,1113,2.99,4
119,150,1094,4.34,1
487,935,1807,1.59,4
193,927,674,3.32,4
11,343,582,1.73,4
35,22,1125,2.32,3
184,953,1343,0.26,3
69,865,1318,2.85,2
252,682,1945,3.1,2
66,651,349,1.8,0
239,230,919,3.51,2
499,533,52,1.86,2
25,913,911,1.98,2
319,350,1559,3.83,4
103,709,41,0.54,1
455,35,1962,1.88,2
300,927,1783,1.63,2
13,366,817,2.43,3
283,402,1547,3.15,2
264,558,436,0.81,0
372,537,1457,1.93,0
145,872,204,3.19,0
484,51,1394,2.31,0
51,303,928,0.53,0
214,208,136,1.08,0
124,391,1834,4.67,1
171,501,891,1.56,5
298,384,1430,4.53,5
216,55,1602,2.98,2
403,263,1600,2.96,4
132,194,360,4.52,5
224,20,1936,4.31,4
113,56,1495,0.97,5
154,96,977,4.82,2
99,395,1928,0.18,1
216,673,658,1.86,0
67,517,18,3.7,1
212,426,825,3.58,4
327,637,1689,2.61,5
170,841,1716,1.63,4
447,116,1016,1.15,1
214,332,1676,2.84,2
296,481,1316,1.51,2
484,565,1272,2.66,3
432,165,1939,3.29,1
142,658,1406,3.6,5
391,283,161,3.69,3
192,845,68,0.8,1
467,386,1290,0.84,3
139,103,1682,0.16,0
477,379,766,2.13,4
293,767,895,2.42,1
357,510,1175,0.72,4
447,945,1789,1.05,0
277,81,191,1.44,4
430,149,1447,0.76,1
132,665,852,3.59,4
359,264,779,0.75,0
52,291,1039,3.99,2
417,537,136,0.66,1
107,879,850,0.84,4
214,984,123,4.32,5
213,353,907,0.77,4
378,697,1475,0.94,1
383,568,179,4.17,3
36,907,1564,1.56,0
85,59,495,0.36,5
467,446,1705,2.47,4
148,568,1367,2.46,3
111,478,878,0.44,2
168,839,830,2.77,1
366,706,664,0.97,0
374,293,1149,1.09,2
353,465,674,3.35,1
255,199,1898,4.22,3
63,216,1122,0.44,1
494,994,1496,2.98,4
396,121,1818,1.93,1
341,952,787,4.52,5
415,405,16,0.6,5
343,544,495,1.15,4
107,812,1255,0.92,4
206,996,1388,0.24,4
282,246,1477,3.05,3
390,441,1783,4.3,5
397,265,131,2.91,0
415,619,1862,2.75,5
280,127,1773,3.23,2
138,203,1323,3.8,0
98,240,734,1.81,4
121,318,1291,2.01,0
2,750,1687,4.26,1
105,471,641,4.11,4
83,134,483,1.31,3
457,772,1078,3.1,4
57,416,1512,0.68,2
131,719,372,3.8,1
321,607,1751,2.44,0
216,152,698,1.05,5
173,753,1708,0.46,2
429,636,41,2.82,5
3,451,1175,0.94,2
157,781,709,3.77,5
13,544,1785,0.89,5
6,439,1138,0.13,4
497,871,863,4.81,1
171,681,922,4.85,5
102,634,1290,0.91,4
154,709,559,3.48,4
435,596,1503,2.8,2
85,312,224,1.09,5
391,532,858,1.87,0
455,500,924,3.0,4
458,512,456,2.9,4
418,980,297,0.62,5
385,296,602,2.11,3
470,535,1673,1.66,1
393,965,541,1.14,5
142,957,707,3.9,0
13,878,96,0.1,2
266,39,744,4.47,2
410,397,792,0.2,3
299,738,1019,2.84,2
22,33,940,0.82,0
65,683,1393,4.76,5
230,366,657,4.57,5
91,428,1723,3.05,1
437,725,1699,4.14,0
493,875,1233,0.9,5
17,6,371,1.09,4
447,795,1912,0.72,3
266,751,423,1.34,1
336,31,1724,2.01,0
231,880,445,2.57,0
206,98,1145,4.39,5
355,487,1500,2.86,1
321,878,1706,4.16,5
75,959,1957,1.43,3
164,637,621,1.85,2
447,838,1988,4.28,3
110,572,796,2.01,5
63,321,818,2.5,4
96,616,314,0.04,0
417,280,1936,1.21,0
173,546,1745,3.23,5
376,733,447,1.6,1
242,945,1930,0.56,1
338,969,194,4.13,3
48,853,387,1.76,3
248,809,97,1.31,5
14,12,949,3.48,2
400,336,256,0.6,0
479,585,1106,0.38,5
35,559,1202,1.78,0
66,197,923,4.85,0
298,972,1558,1.22,1
212,749,1006,2.51,4
258,95,346,4.7,5
11,298,421,0.32,0
383,390,839,4.4,2
445,723,215,1.99,1
16,105,598,2.84,3
223,357,706,3.87,0
50,611,1773,3.93,5
483,502,67,2.84,2
438,314,751,2.44,4
77,549,8,1.43,2
157,784,1435,2.05,5
424,446,166,4.8,5
255,223,823,2.86,0
335,314,1858,4.03,5
342,665,795,2.5,0
49,135,1249,0.21,4
416,972,1806,4.75,2
96,715,823,2.33,5
239,64,875,1.95,3
173,603,1198,1.78,1
167,881,1147,4.15,2
242,568,1296,0.88,3
455,550,909,2.94,2
376,220,1998,0.44,2
393,213,818,3.43,1
440,343,659,2.52,0
109,526,1785,4.7,0
197,823,99,3.8,3
62,797,984,2.8,1
458,986,1178,3.89,3
265,272,1637,3.22,4
82,402,707,0.63,1
76,82,911,3.68,2
249,907,1040,4.68,4
491,447,121,1.0,0
207,153,683,4.69,4
462,790,169,2.0,4
391,538,21,3.93,2
402,584,424,4.61,5
30,468,1632,4.4,2
108,706,159,4.4,1
371,971,1237,2.33,5
19,882,770,0.06,3
491,642,635,4.56,3
343,439,306,3.3,0
418,371,1422,2.44,0
229,634,682,1.65,3
184,314,1937,0.83,4
281,287,1398,2.72,2
62,246,562,2.0,1
127,896,265,3.13,3
388,259,1306,4.43,1
407,493,1648,1.95,5
344,64,1958,0.43,5
340,293,1969,3.36,4
280,53,1001,2.62,0
186,354,1048,1.49,0
433,302,1961,2.59,5
365,671,1734,1.11,0
127,597,1691,1.16,2
232,380,769,4.02,1
346,319,169,3.57,2
129,605,1108,2.33,5
91,247,836,4.28,3
416,77,1724,0.97,2
393,933,1624,1.9,1
203,693,1311,5.0,0
141,536,67,0.24,0
270,271,896,3.22,3
415,338,941,4.29,2
334,541,165,0.37,2
340,332,1778,4.63,4
256,221,1462,0.53,1
53,668,694,2.08,4
124,739,1428,2.72,4
351,704,148,2.89,4
319,56,1494,4.28,5
32,580,830,2.83,5
54,782,725,1.45,2
64,112,1863,3.49,5
228,17,1962,0.15,0
417,986,1548,1.37,0
281,338,1051,2.54,0
457,55,727,3.94,1
390,334,383,2.56,1
220,779,305,0.21,4
425,631,999,0.83,1
321,595,117,3.06,3
3,822,786,1.6,5
2,335,502,4.72,2
339,473,1140,2.44,1
293,649,201,0.28,5
137,699,1435,1.37,2
124,452,482,3.92,3
60,556,160,2.15,3
174,627,1297,4.51,2
268,194,427,4.14,1
212,718,481,3.51,1
275,328,282,2.55,2
331,224,424,4.9,3
246,584,1983,2.18,1
378,698,74,0.2,0
448,515,770,0.98,0
488,382,1445,2.68,0
365,771,808,0.06,3
98,385,1673,1.81,3
226,251,1238,0.12,0
24,133,80,4.64,2
