PostsCount,LikesPerPost,MessagesSent,PhotosPerDay,Topic,classes
46,776,824,2.34,0,0.0
217,512,164,3.42,1,0.5258413615818226
125,460,1091,4.22,0,0.0
347,945,543,3.85,2,4.524467271920079
197,875,1605,2.82,3,23.964136750920193
378,347,402,4.31,2,1.2639955833585477
103,481,724,2.44,4,13.112056082289282
325,160,1386,4.24,5,5.747914183192774
46,551,980,2.97,5,69.26611970448421
319,393,100,1.92,2,0.1879782725432502
253,493,202,2.78,1,0.43480759953225084
175,80,1334,0.23,0,0.0
199,51,1576,2.39,0,0.0
390,129,1824,3.71,0,0.0
308,491,513,1.25,0,0.0
393,281,1288,0.13,3,0.14271473063783077
449,290,1499,1.46,2,1.1233386555231308
163,568,765,4.06,5,21.502688669428018
180,5,557,0.48,0,0.0
57,102,232,1.86,3,0.9204963324928076
300,358,569,4.3,5,5.800788896394829
451,615,1222,1.6,0,0.0
403,355,793,2.41,4,2.675765751710303
428,194,869,0.06,1,0.00939082073752098
372,508,1112,2.62,1,1.5808891308553061
285,691,901,3.97,2,6.8921233790626335
32,953,1154,1.42,2,38.78302085470598
48,152,122,4.09,5,3.139280021393469
52,359,507,3.89,0,0.0
360,52,867,4.02,1,0.20004170892751127
220,332,1749,1.83,5,9.596234872756826
476,428,1087,4.91,0,0.0
97,839,1716,0.49,3,8.669606927828374
316,879,845,1.2,5,5.603821773930064
391,998,985,2.87,5,14.335619920254997
403,485,1528,3.57,2,5.21714396482383
60,948,492,3.85,0,0.0
140,414,635,2.32,1,1.731045878185766
9,417,1186,0.97,5,105.8996526782837
249,443,353,0.38,0,0.0
152,210,606,2.35,0,0.0
194,349,241,3.95,1,0.6804753502537889
434,891,1307,0.72,3,2.302989064853318
124,855,1020,0.09,1,0.251513715755168
375,495,1562,1.79,4,5.866006577746049
425,334,952,3.79,0,0.0
448,341,9,2.42,3,0.019761961902242962
315,74,1485,2.83,4,1.5691649867610657
214,763,342,0.76,4,1.4729398662693172
290,759,27,2.67,5,0.37485505384313583
474,261,13,4.93,4,0.056090200333860585
109,158,276,3.92,2,1.2463221007658054
457,923,1012,1.63,2,2.6476353814134503
122,363,984,2.04,2,4.746534244120401
76,149,1597,0.32,2,0.7962182519635508
216,521,903,0.58,0,0.0
108,322,1113,2.99,4,15.770048274591923
119,150,1094,4.34,1,2.3780769954852614
487,935,1807,1.59,4,8.767433499084394
193,927,674,3.32,4,17.08263884485349
11,343,582,1.73,4,49.90052060389752
35,22,1125,2.32,3,1.9556492290356133
184,953,1343,0.26,3,2.1558585152916665
69,865,1318,2.85,2,37.42241798301634
252,682,1945,3.1,2,12.967901157250507
66,651,349,1.8,0,0.0
239,230,919,3.51,2,2.4669316743126695
499,533,52,1.86,2,0.08210082278757014
25,913,911,1.98,2,52.35026619282933
319,350,1559,3.83,4,10.412542915146567
103,709,41,0.54,1,0.06055655903945184
455,35,1962,1.88,2,0.22548520859238372
300,927,1783,1.63,2,7.136774674769544
13,366,817,2.43,3,66.62878295847958
283,402,1547,3.15,2,5.501043045335637
264,558,436,0.81,0,0.0
372,537,1457,1.93,0,0.0
145,872,204,3.19,0,0.0
484,51,1394,2.31,0,0.0
51,303,928,0.53,0,0.0
214,208,136,1.08,0,0.0
124,391,1834,4.67,1,10.731139652542256
171,501,891,1.56,5,8.090744464697156
298,384,1430,4.53,5,16.584170982752987
216,55,1602,2.98,2,0.9660336897812308
403,263,1600,2.96,4,4.912436504568235
132,194,360,4.52,5,4.751309280776908
224,20,1936,4.31,4,1.184129373545063
113,56,1495,0.97,5,1.4277990128609228
154,96,977,4.82,2,2.3329029506148053
99,395,1928,0.18,1,0.550194187858234
216,673,658,1.86,0,0.0
67,517,18,3.7,1,0.20420413505790466
212,426,825,3.58,4,9.432900800406383
327,637,1689,2.61,5,17.06107544692764
170,841,1716,1.63,4,21.993103409523464
447,116,1016,1.15,1,0.1204804488918753
214,332,1676,2.84,2,5.868420464934445
296,481,1316,1.51,2,2.566201533287671
484,565,1272,2.66,3,4.7083382080875955
432,165,1939,3.29,1,0.9681629680954025
142,658,1406,3.6,5,46.59828546737488
391,283,161,3.69,3,0.5125753744332063
192,845,68,0.8,1,0.09513250717214103
467,386,1290,0.84,3,1.0676655697831974
139,103,1682,0.16,0,0.0
477,379,766,2.13,4,2.06045795983611
293,767,895,2.42,1,2.252893735845
357,510,1175,0.72,4,1.920909378572076
447,945,1789,1.05,0,0.0
277,81,191,1.44,4,0.12783084597663114
430,149,1447,0.76,1,0.15141695170575792
132,665,852,3.59,4,24.491552261468094
359,264,779,0.75,0,0.0
52,291,1039,3.99,2,18.436676986240396
417,537,136,0.66,1,0.04592991452651684
107,879,850,0.84,4,9.322617441215113
214,984,123,4.32,5,4.854167411069841
213,353,907,0.77,4,1.8396180751874345
378,697,1475,0.94,1,1.0158636365100242
383,568,179,4.17,3,1.3195761727338016
36,907,1564,1.56,0,0.0
85,59,495,0.36,5,0.24574537472364352
467,446,1705,2.47,4,6.392546100086914
148,568,1367,2.46,3,15.384594694247294
111,478,878,0.44,2,1.322076751986487
168,839,830,2.77,1,4.562313274673434
366,706,664,0.97,0,0.0
374,293,1149,1.09,2,0.7797351331668686
353,465,674,3.35,1,1.1818368129250578
255,199,1898,4.22,3,7.451048191723825
63,216,1122,0.44,1,0.672563504974087
494,994,1496,2.98,4,14.257449664128018
396,121,1818,1.93,1,0.4260062148006681
341,952,787,4.52,5,19.73060051314044
415,405,16,0.6,5,0.018613272112285178
343,544,495,1.15,4,1.4349685171061224
107,812,1255,0.92,4,13.926383761903327
206,996,1388,0.24,4,2.559925814241887
282,246,1477,3.05,3,4.684488215322431
390,441,1783,4.3,5,17.22417177884263
397,265,131,2.91,0,0.0
415,619,1862,2.75,5,15.173979384707286
280,127,1773,3.23,2,2.0642462570247084
138,203,1323,3.8,0,0.0
98,240,734,1.81,4,5.17123595908439
121,318,1291,2.01,0,0.0
2,750,1687,4.26,1,1070.85461333816
105,471,641,4.11,4,18.783045621983018
83,134,483,1.31,3,1.2177018047247152
457,772,1078,3.1,4,8.9725545806837
57,416,1512,0.68,2,5.963259889252627
131,719,372,3.8,1,3.0828947190114606
321,607,1751,2.44,0,0.0
216,152,698,1.05,5,1.0246584488709292
173,753,1708,0.46,2,2.7176850751627377
429,636,41,2.82,5,0.3405472326044272
3,451,1175,0.94,2,131.9549132792343
157,781,709,3.77,5,26.41700228585328
13,544,1785,0.89,5,132.07734840078376
6,439,1138,0.13,4,17.20415862373667
497,871,863,4.81,1,2.890627972016762
171,681,922,4.85,5,35.38084721161357
102,634,1290,0.91,4,11.597242612949712
154,709,559,3.48,4,14.234791819888228
435,596,1503,2.8,2,4.582247816646494
85,312,224,1.09,5,1.7805523688930494
391,532,858,1.87,0,0.0
455,500,924,3.0,4,4.841571919805234
458,512,456,2.9,4,2.349642978261376
418,980,297,0.62,5,0.8577140014987495
385,296,602,2.11,3,1.1641414300637454
470,535,1673,1.66,1,1.2561297909684863
393,965,541,1.14,5,3.008717737225983
142,957,707,3.9,0,0.0
13,878,96,0.1,2,0.5152606237077569
266,39,744,4.47,2,0.387496681260193
410,397,792,0.2,3,0.18283428788864492
299,738,1019,2.84,2,5.676521090855945
22,33,940,0.82,0,0.0
65,683,1393,4.76,5,138.42355005301306
230,366,657,4.57,5,9.492473336530253
91,428,1723,3.05,1,9.821143485414858
437,725,1699,4.14,0,0.0
493,875,1233,0.9,5,3.913012963577489
17,6,371,1.09,4,0.22684922007531638
447,795,1912,0.72,3,2.9186082596934013
266,751,423,1.34,1,0.6358841921158629
336,31,1724,2.01,0,0.0
231,880,445,2.57,0,0.0
206,98,1145,4.39,5,4.750873088726336
355,487,1500,2.86,1,2.3384735546697777
321,878,1706,4.16,5,38.56616081611584
75,959,1957,1.43,3,42.655989831029814
164,637,621,1.85,2,3.546202005763821
447,838,1988,4.28,3,19.014830650976037
110,572,796,2.01,5,16.529397955671175
63,321,818,2.5,4,16.561220869670954
96,616,314,0.04,0,0.0
417,280,1936,1.21,0,0.0
173,546,1745,3.23,5,35.34183216423604
376,733,447,1.6,1,0.5540107579585578
242,945,1930,0.56,1,1.6770126598218684
338,969,194,4.13,3,2.7381338590655395
48,853,387,1.76,3,14.428701336281064
248,809,97,1.31,5,0.8235395061587115
14,12,949,3.48,2,2.2495892343694512
400,336,256,0.6,0,0.0
479,585,1106,0.38,5,1.0197733145847783
35,559,1202,1.78,0,0.0
66,197,923,4.85,0,0.0
298,972,1558,1.22,1,2.4634959205639393
212,749,1006,2.51,4,14.179215819228181
258,95,346,4.7,5,1.189658804144189
11,298,421,0.32,0,0.0
383,390,839,4.4,2,2.9873425765061095
445,723,215,1.99,1,0.276213171955618
16,105,598,2.84,3,13.285706613614522
223,357,706,3.87,0,0.0
