PostsCount,LikesPerPost,MessagesSent,PhotosPerDay,Topic,classes
46,776,824,2.34,0,0.0
217,512,164,3.42,1,0.002446831043924162
125,460,1091,4.22,0,0.0
197,875,1605,2.82,3,0.11150928402932692
378,347,402,4.31,2,0.005881590644450433
103,481,724,2.44,4,0.06101267077072222
325,160,1386,4.24,5,0.026746041465700945
46,551,980,2.97,5,0.32230726673015253
253,493,202,2.78,1,0.0020232351625388634
390,129,1824,3.71,0,0.0
308,491,513,1.25,0,0.0
449,290,1499,1.46,2,0.0052270895672902155
163,568,765,4.06,5,0.10005573925550923
57,102,232,1.86,3,0.004283229062442768
300,358,569,4.3,5,0.026992076675468758
451,615,1222,1.6,0,0.0
403,355,793,2.41,4,0.012450802059120797
372,508,1112,2.62,1,0.007356151274869141
285,691,901,3.97,2,0.032070245276477505
52,359,507,3.89,0,0.0
220,332,1749,1.83,5,0.04465294498861024
97,839,1716,0.49,3,0.0403411844701943
316,879,845,1.2,5,0.026075554497697453
403,485,1528,3.57,2,0.02427627559641138
140,414,635,2.32,1,0.00805485665954565
249,443,353,0.38,0,0.0
152,210,606,2.35,0,0.0
194,349,241,3.95,1,0.0031663698089809877
434,891,1307,0.72,3,0.010716207490315776
375,495,1562,1.79,4,0.02729554585648351
425,334,952,3.79,0,0.0
315,74,1485,2.83,4,0.007301596799262787
214,763,342,0.76,4,0.0068538446267895365
109,158,276,3.92,2,0.005799352865109361
457,923,1012,1.63,2,0.0123199065679172
122,363,984,2.04,2,0.02208644695545832
216,521,903,0.58,0,0.0
108,322,1113,2.99,4,0.07338076937572736
119,150,1094,4.34,1,0.011065604652877464
193,927,674,3.32,4,0.07948848092130986
69,865,1318,2.85,2,0.17413300046254004
66,651,349,1.8,0,0.0
239,230,919,3.51,2,0.01147906088214554
319,350,1559,3.83,4,0.04845136786944972
300,927,1783,1.63,2,0.033208650181468596
283,402,1547,3.15,2,0.025597307250232175
264,558,436,0.81,0,0.0
372,537,1457,1.93,0,0.0
145,872,204,3.19,0,0.0
51,303,928,0.53,0,0.0
214,208,136,1.08,0,0.0
171,501,891,1.56,5,0.0376476370461363
298,384,1430,4.53,5,0.0771690235174323
403,263,1600,2.96,4,0.02285841894316927
132,194,360,4.52,5,0.022108666029081344
216,673,658,1.86,0,0.0
212,426,825,3.58,4,0.04389292322547735
327,637,1689,2.61,5,0.07938814269135636
170,841,1716,1.63,4,0.10233772408616967
447,116,1016,1.15,1,0.0005606164217431721
214,332,1676,2.84,2,0.02730677809217401
296,481,1316,1.51,2,0.011940980750782981
142,658,1406,3.6,5,0.21682990309515884
391,283,161,3.69,3,0.002385102105207951
467,386,1290,0.84,3,0.004968033044825457
293,767,895,2.42,1,0.01048310523718677
357,510,1175,0.72,4,0.008938324451915275
277,81,191,1.44,4,0.0005948190940435168
430,149,1447,0.76,1,0.0007045693341724019
132,665,852,3.59,4,0.11396343986137034
359,264,779,0.75,0,0.0
52,291,1039,3.99,2,0.08578905520294582
417,537,136,0.66,1,0.00021371985720217544
107,879,850,0.84,4,0.04337975563043366
213,353,907,0.77,4,0.008560061920180885
378,697,1475,0.94,1,0.004726989666102261
383,568,179,4.17,3,0.006140216765290133
36,907,1564,1.56,0,0.0
467,446,1705,2.47,4,0.029745625563490655
148,568,1367,2.46,3,0.07158718702316798
111,478,878,0.44,2,0.0061518523941894235
168,839,830,2.77,1,0.02122923483804579
366,706,664,0.97,0,0.0
374,293,1149,1.09,2,0.0036282427919549693
353,465,674,3.35,1,0.0054992916381064435
63,216,1122,0.44,1,0.003129554620866336
396,121,1818,1.93,1,0.0019822807930956264
343,544,495,1.15,4,0.006677157354353034
107,812,1255,0.92,4,0.06480187868014288
282,246,1477,3.05,3,0.02179773602378418
390,441,1783,4.3,5,0.08014705820701547
397,265,131,2.91,0,0.0
415,619,1862,2.75,5,0.07060715746414288
280,127,1773,3.23,2,0.009605295804039526
138,203,1323,3.8,0,0.0
98,240,734,1.81,4,0.024062657684594774
121,318,1291,2.01,0,0.0
105,471,641,4.11,4,0.08740076853037836
83,134,483,1.31,3,0.005666177664457628
457,772,1078,3.1,4,0.04175085243442695
57,416,1512,0.68,2,0.02774808238005193
131,719,372,3.8,1,0.014345243746013946
321,607,1751,2.44,0,0.0
216,152,698,1.05,5,0.00476791345316499
173,753,1708,0.46,2,0.012645859940560873
157,781,709,3.77,5,0.12292289272566757
102,634,1290,0.91,4,0.05396398100735947
154,709,559,3.48,4,0.06623695485635653
435,596,1503,2.8,2,0.02132199371878382
85,312,224,1.09,5,0.008285218945946879
391,532,858,1.87,0,0.0
455,500,924,3.0,4,0.02252867374132492
458,512,456,2.9,4,0.010933296239865622
385,296,602,2.11,3,0.005416951953017891
299,738,1019,2.84,2,0.026413837026464732
230,366,657,4.57,5,0.04417012456679955
91,428,1723,3.05,1,0.04569948376570862
437,725,1699,4.14,0,0.0
266,751,423,1.34,1,0.0029588794174146113
231,880,445,2.57,0,0.0
206,98,1145,4.39,5,0.022106636351828034
355,487,1500,2.86,1,0.010881322974954605
321,878,1706,4.16,5,0.17945503420647207
164,637,621,1.85,2,0.016501092895445206
110,572,796,2.01,5,0.07691415512398694
63,321,818,2.5,4,0.07706223266138064
173,546,1745,3.23,5,0.16445167384413584
376,733,447,1.6,1,0.0025779081302451387
48,853,387,1.76,3,0.06713924946284211
400,336,256,0.6,0,0.0
212,749,1006,2.51,4,0.06597835008760443
383,390,839,4.4,2,0.013900623056815498
445,723,215,1.99,1,0.0012852677884613397
223,357,706,3.87,0,0.0
50,611,1773,3.93,5,0.7871659447830958
438,314,751,2.44,4,0.009715588070250398
157,784,1435,2.05,5,0.13580506803169146
255,223,823,2.86,0,0.0
335,314,1858,4.03,5,0.064882772868998
342,665,795,2.5,0,0.0
96,715,823,2.33,5,0.13203357118158648
173,603,1198,1.78,1,0.013742692532744431
167,881,1147,4.15,2,0.09285915946559421
242,568,1296,0.88,3,0.014847922732100715
455,550,909,2.94,2,0.011945829251337537
393,213,818,3.43,1,0.00281163070500497
440,343,659,2.52,0,0.0
62,797,984,2.8,1,0.06548526093638314
265,272,1637,3.22,4,0.04001394521878602
82,402,707,0.63,1,0.004037345950410475
76,82,911,3.68,2,0.013375814959104513
462,790,169,2.0,4,0.0042745028210301895
402,584,424,4.61,5,0.02625109242475403
108,706,159,4.4,1,0.008455796977382442
343,439,306,3.3,0,0.0
418,371,1422,2.44,0,0.0
229,634,682,1.65,3,0.01728093154498253
281,287,1398,2.72,2,0.01436168670885826
62,246,562,2.0,1,0.008245813910702485
127,896,265,3.13,3,0.032459330328065236
388,259,1306,4.43,1,0.007140666372216603
407,493,1648,1.95,5,0.035986377697288865
186,354,1048,1.49,0,0.0
365,671,1734,1.11,0,0.0
127,597,1691,1.16,2,0.03409777207052438
232,380,769,4.02,1,0.009362068303358412
346,319,169,3.57,2,0.0020569479458049504
129,605,1108,2.33,5,0.11193222861071046
91,247,836,4.28,3,0.05387045737085739
416,77,1724,0.97,2,0.0011446169864105893
270,271,896,3.22,3,0.016062548924750623
415,338,941,4.29,2,0.012158200906288117
334,541,165,0.37,2,0.0003656707840345127
340,332,1778,4.63,4,0.059450526665742846
256,221,1462,0.53,1,0.0012367996432202466
53,668,694,2.08,4,0.13455727714792626
124,739,1428,2.72,4,0.1711999591571354
351,704,148,2.89,4,0.006344667873342876
54,782,725,1.45,2,0.056295385624437054
64,112,1863,3.49,5,0.10518895377528605
281,338,1051,2.54,0,0.0
390,334,383,2.56,1,0.001552545725165126
425,631,999,0.83,1,0.0022761863284490817
339,473,1140,2.44,1,0.0071759585409062595
137,699,1435,1.37,2,0.03709222394475341
124,452,482,3.92,3,0.03820277497188743
60,556,160,2.15,3,0.01768182301388573
174,627,1297,4.51,2,0.07794506200634088
268,194,427,4.14,1,0.0023660229492019082
212,718,481,3.51,1,0.010572180684283717
275,328,282,2.55,2,0.003171642545519609
448,515,770,0.98,0,0.0
98,385,1673,1.81,3,0.06598636805149827
453,651,1674,1.48,3,0.019748995507778977
169,124,1805,3.47,2,0.016993993896695994
123,582,1339,3.61,0,0.0
116,465,1327,2.09,2,0.041111750497329395
285,905,979,4.54,4,0.10438210624145791
67,511,460,2.67,4,0.06927858081669674
466,183,746,3.28,1,0.0017766490373792622
326,314,821,4.36,2,0.012749568620985268
267,928,1400,1.18,3,0.03184870757188089
290,467,344,3.77,5,0.019306897035485666
415,290,911,3.31,4,0.015584040348391063
360,863,1546,1.52,3,0.031246863332226725
206,114,1269,1.52,4,0.007894536427569284
148,431,383,4.4,4,0.03629533399889075
85,907,1038,4.49,2,0.18390174586725425
207,817,875,4.41,2,0.05631863885160566
404,733,987,0.83,2,0.005496315458987953
262,694,927,1.75,0,0.0
267,757,1599,2.67,3,0.06714124632256006
327,511,435,2.88,3,0.010859252903031745
205,121,392,0.4,3,0.0005133607053836217
225,750,458,3.16,4,0.0356791991683907
376,71,237,1.69,1,0.00013983933663773147
169,163,820,1.97,1,0.002880744749690662
175,613,370,3.04,1,0.007284865439213081
369,360,175,0.48,5,0.00075761615316355
362,721,1148,3.98,3,0.05047736892674721
227,307,493,0.44,0,0.0
221,232,704,1.22,3,0.0050011888750938075
244,469,655,2.48,1,0.005772976609903174
159,406,1477,0.37,4,0.01032036175437846
187,462,313,3.66,2,0.010465972477172089
158,84,613,4.37,2,0.005266449292246712
245,648,1133,3.93,5,0.10887425262437316
407,148,1730,4.38,3,0.015283843259626036
105,286,1710,2.16,1,0.018601604070015678
455,764,986,3.45,2,0.021121840963896407
398,758,1345,3.59,3,0.0510091306488916
367,416,801,3.41,3,0.017173515913963995
282,464,1009,2.0,4,0.024556916084200325
334,366,1185,0.56,5,0.006722561763139273
288,599,1699,2.43,3,0.04762983121521223
187,393,974,1.81,5,0.03425171175946964
86,497,198,3.2,1,0.006770128420590711
41,700,519,2.16,0,0.0
238,301,137,3.59,0,0.0
199,271,301,2.09,3,0.0047519739541576934
177,450,654,2.76,2,0.01696992309484254
394,448,722,2.85,5,0.021630056545837613
39,800,641,3.42,2,0.1662889196943007
355,518,1799,4.65,4,0.09027537787020463
