PostsCount,LikesPerPost,MessagesSent,PhotosPerDay,Topic,classes
46,776,824,2.34,0,0.5
217,512,164,3.42,1,0.628512654413074
125,460,1091,4.22,0,0.5
347,945,543,3.85,2,0.9892757679770425
197,875,1605,2.82,3,0.9999999999608702
378,347,402,4.31,2,0.7797131583167891
103,481,724,2.44,4,0.9999979792828867
325,160,1386,4.24,5,0.996820713677244
46,551,980,2.97,5,1.0
319,393,100,1.92,2,0.5468566727040282
253,493,202,2.78,1,0.6070210925614378
175,80,1334,0.23,0,0.5
199,51,1576,2.39,0,0.5
390,129,1824,3.71,0,0.5
308,491,513,1.25,0,0.5
393,281,1288,0.13,3,0.5356182486315159
449,290,1499,1.46,2,0.7546074774946321
163,568,765,4.06,5,0.9999999995413293
180,5,557,0.48,0,0.5
57,102,232,1.86,3,0.7151432260726136
300,358,569,4.3,5,0.9969839567750046
451,615,1222,1.6,0,0.5
403,355,793,2.41,4,0.9355814005288151
428,194,869,0.06,1,0.502347687931342
372,508,1112,2.62,1,0.8293304037327021
285,691,901,3.97,2,0.998985275993508
32,953,1154,1.42,2,1.0
48,152,122,4.09,5,0.9584842406200971
52,359,507,3.89,0,0.5
360,52,867,4.02,1,0.5498443209418076
220,332,1749,1.83,5,0.9999320203970682
476,428,1087,4.91,0,0.5
97,839,1716,0.49,3,0.9998283028930547
316,879,845,1.2,5,0.9963297619813398
391,998,985,2.87,5,0.9999994055448199
403,485,1528,3.57,2,0.9946064533729222
60,948,492,3.85,0,0.5
140,414,635,2.32,1,0.849546150654533
9,417,1186,0.97,5,1.0
249,443,353,0.38,0,0.5
152,210,606,2.35,0,0.5
194,349,241,3.95,1,0.6638447823969459
434,891,1307,0.72,3,0.9091242896780108
124,855,1020,0.09,1,0.5625490427908559
375,495,1562,1.79,4,0.9971738410136424
425,334,952,3.79,0,0.5
448,341,9,2.42,3,0.5049403296955789
315,74,1485,2.83,4,0.8276645379441069
214,763,342,0.76,4,0.8135038200246623
290,759,27,2.67,5,0.5926316076118715
474,261,13,4.93,4,0.5140188748653013
109,158,276,3.92,2,0.7766625499480045
457,923,1012,1.63,2,0.9338650988625075
122,363,984,2.04,2,0.9913929918506177
76,149,1597,0.32,2,0.6891649479201294
216,521,903,0.58,0,0.5
108,322,1113,2.99,4,0.9999998583700854
119,150,1094,4.34,1,0.9151402155978889
487,935,1807,1.59,4,0.9998443015150419
193,927,674,3.32,4,0.999999961884274
11,343,582,1.73,4,1.0
35,22,1125,2.32,3,0.8760613273519913
184,953,1343,0.26,3,0.8962149653396733
69,865,1318,2.85,2,1.0
252,682,1945,3.1,2,0.9999976659450738
66,651,349,1.8,0,0.5
239,230,919,3.51,2,0.9217908477424851
499,533,52,1.86,2,0.5205136842067146
25,913,911,1.98,2,1.0
319,350,1559,3.83,4,0.9999699477482952
103,709,41,0.54,1,0.5151345150648081
455,35,1962,1.88,2,0.556133667065931
300,927,1783,1.63,2,0.9992053189126536
13,366,817,2.43,3,1.0
283,402,1547,3.15,2,0.9959340881568216
264,558,436,0.81,0,0.5
372,537,1457,1.93,0,0.5
145,872,204,3.19,0,0.5
484,51,1394,2.31,0,0.5
51,303,928,0.53,0,0.5
214,208,136,1.08,0,0.5
124,391,1834,4.67,1,0.999978146763111
171,501,891,1.56,5,0.9996937322318608
298,384,1430,4.53,5,0.9999999372540024
216,55,1602,2.98,2,0.7243282225435839
403,263,1600,2.96,4,0.9926991473688184
132,194,360,4.52,5,0.9914336414342894
224,20,1936,4.31,4,0.7656894636360397
113,56,1495,0.97,5,0.8065581448092555
154,96,977,4.82,2,0.9115656341821616
99,395,1928,0.18,1,0.6341806429045014
216,673,658,1.86,0,0.5
67,517,18,3.7,1,0.5508743709133845
212,426,825,3.58,4,0.9999199597435208
327,637,1689,2.61,5,0.9999999610534438
170,841,1716,1.63,4,0.9999999997191227
447,116,1016,1.15,1,0.5300837308939681
214,332,1676,2.84,2,0.9971806356048387
296,481,1316,1.51,2,0.9286544364929126
484,565,1272,2.66,3,0.9910608746232049
432,165,1939,3.29,1,0.7247531869791968
142,658,1406,3.6,5,1.0
391,283,161,3.69,3,0.6254100080315427
192,845,68,0.8,1,0.5237652061855643
467,386,1290,0.84,3,0.7441527183175314
139,103,1682,0.16,0,0.5
477,379,766,2.13,4,0.8870000798077936
293,767,895,2.42,1,0.9048998506961308
357,510,1175,0.72,4,0.8722398068878855
447,945,1789,1.05,0,0.5
277,81,191,1.44,4,0.5319142648060654
430,149,1447,0.76,1,0.5377820793901932
132,665,852,3.59,4,0.9999999999769085
359,264,779,0.75,0,0.5
52,291,1039,3.99,2,0.9999999901586899
417,537,136,0.66,1,0.5114804604787248
107,879,850,0.84,4,0.999910628330044
214,984,123,4.32,5,0.9922644833394796
213,353,907,0.77,4,0.8629035315890727
378,697,1475,0.94,1,0.7341661032921281
383,568,179,4.17,3,0.7891111840674417
36,907,1564,1.56,0,0.5
85,59,495,0.36,5,0.561129017077154
467,446,1705,2.47,4,0.9983288089265839
148,568,1367,2.46,3,0.9999997917642328
111,478,878,0.44,2,0.789527016430949
168,839,830,2.77,1,0.9896699386966481
366,706,664,0.97,0,0.5
374,293,1149,1.09,2,0.6856230262642449
353,465,674,3.35,1,0.7652779068753225
255,199,1898,4.22,3,0.9994195047013046
63,216,1122,0.44,1,0.6620769329882972
494,994,1496,2.98,4,0.999999357211637
396,121,1818,1.93,1,0.6049195872510732
341,952,787,4.52,5,0.999999997301583
415,405,16,0.6,5,0.5046531836860446
343,544,495,1.15,4,0.8076742880265806
107,812,1255,0.92,4,0.9999991049485704
206,996,1388,0.24,4,0.9282375161848032
282,246,1477,3.05,3,0.9908470886677306
390,441,1783,4.3,5,0.9999999669145363
397,265,131,2.91,0,0.5
415,619,1862,2.75,5,0.999999742945996
280,127,1773,3.23,2,0.8873792280774584
138,203,1323,3.8,0,0.5
98,240,734,1.81,4,0.9943545052981855
121,318,1291,2.01,0,0.5
2,750,1687,4.26,1,1.0
