UserID,FollowersCount,PostsCount,LikesPerPost,MessagesSent,PhotosPerDay,PostTime,AM_PM,Topic,TZ
66728280,3461,46,776,824,2.34,5,AM,political,UTC+8
25870563,2364,217,512,164,3.42,11,PM,music,UTC+8
692422868,3126,125,460,1091,4.22,10,PM,political,UTC+8
886774570,619,347,945,543,3.85,11,PM,technologies,UTC+8
87713633,7061,197,875,1605,2.82,4,PM,sport,UTC-5
938839869,6984,378,347,402,4.31,8,PM,technologies,UTC+3
914596141,7209,103,481,724,2.44,5,PM,traveling,UTC-5
437889724,1949,325,160,1386,4.24,4,AM,food,UTC+3
187474876,8054,46,551,980,2.97,9,AM,food,UTC+8
870045266,4943,319,393,100,1.92,8,AM,technologies,UTC+3
337382064,4977,253,493,202,2.78,4,AM,music,UTC+8
26017762,8059,175,80,1334,0.23,11,PM,political,UTC+1
875112236,8872,199,51,1576,2.39,5,PM,political,UTC+0
651255164,6624,390,129,1824,3.71,10,AM,political,UTC+8
439325195,1915,308,491,513,1.25,9,AM,political,UTC+8
165880457,1092,393,281,1288,0.13,5,AM,sport,UTC+8
789762595,4819,449,290,1499,1.46,7,AM,technologies,UTC+8
250487457,7817,163,568,765,4.06,9,PM,food,UTC+0
90220000,9027,180,5,557,0.48,5,AM,political,UTC+8
138856823,2698,57,102,232,1.86,7,AM,sport,UTC+5
415679203,3011,300,358,569,4.3,7,PM,food,UTC+8
928046704,6524,451,615,1222,1.6,7,AM,political,UTC+8
176761261,8942,403,355,793,2.41,9,PM,traveling,UTC+8
145968427,7967,428,194,869,0.06,3,PM,music,UTC+8
11094805,3397,372,508,1112,2.62,5,PM,music,UTC+8
440854009,2835,285,691,901,3.97,10,AM,technologies,UTC+8
770781472,4215,32,953,1154,1.42,7,PM,technologies,UTC+3
221832441,6608,48,152,122,4.09,6,PM,food,UTC+5
576336895,276,52,359,507,3.89,1,PM,political,UTC+5
91653804,8611,360,52,867,4.02,9,AM,music,UTC+8
852983519,3222,220,332,1749,1.83,7,PM,food,UTC+0
1883763,8818,476,428,1087,4.91,5,PM,political,UTC+3
